gt_ntotal,frozen_ntotal,mutable_ntotal,frozen_R@1,frozen_R@10,frozen_R@100,mutable_R@1,mutable_R@10,mutable_R@100
100000,100000,100000,0.9654,0.934565,0.843038,0.9714,0.945306,0.860915
101000,100000,101000,0.9557,0.925063,0.834561,0.9718,0.945416,0.861486
102000,100000,102000,0.939,0.91104,0.824297,0.9717,0.945627,0.86205
103000,100000,103000,0.9259,0.896657,0.812933,0.972,0.945637,0.862585
104000,100000,104000,0.9147,0.885107,0.803299,0.9722,0.945687,0.86309
105000,100000,105000,0.904,0.875253,0.794443,0.9725,0.946037,0.863516
106000,100000,106000,0.8933,0.863912,0.784998,0.9717,0.946287,0.864136
107000,100000,107000,0.8836,0.854522,0.777205,0.9722,0.946527,0.864755
108000,100000,108000,0.8755,0.846671,0.770486,0.9721,0.946717,0.86538
109000,100000,109000,0.8677,0.839421,0.764123,0.9718,0.947006,0.865746
110000,100000,110000,0.8613,0.833451,0.759222,0.9723,0.947176,0.866372
111000,100000,111000,0.8545,0.826812,0.753275,0.9725,0.947016,0.86675
112000,100000,112000,0.8489,0.819871,0.747172,0.9722,0.947166,0.867234
113000,100000,113000,0.8378,0.810691,0.739504,0.9725,0.947426,0.867699
114000,100000,114000,0.8285,0.803102,0.73303,0.9724,0.947906,0.868209
115000,100000,115000,0.8222,0.797113,0.728058,0.9729,0.948126,0.868686
116000,100000,116000,0.8175,0.791524,0.723324,0.973,0.948296,0.869146
117000,100000,117000,0.8118,0.786105,0.719231,0.973,0.948206,0.869479
118000,100000,118000,0.8056,0.781165,0.715661,0.9726,0.948146,0.869871
119000,100000,119000,0.7997,0.777346,0.712255,0.9723,0.948226,0.870268
120000,100000,120000,0.7959,0.773676,0.709149,0.9723,0.948236,0.870559
121000,100000,121000,0.7911,0.769387,0.705514,0.9719,0.948386,0.870869
122000,100000,122000,0.7854,0.764517,0.70102,0.9724,0.948546,0.87139
123000,100000,123000,0.7781,0.756238,0.693117,0.9724,0.948676,0.871912
124000,100000,124000,0.7715,0.749519,0.687207,0.9728,0.949106,0.872428
125000,100000,125000,0.7653,0.74368,0.681721,0.9729,0.949246,0.872905
126000,100000,126000,0.7616,0.73881,0.677247,0.9723,0.949366,0.873278
127000,100000,127000,0.7584,0.734102,0.672633,0.9721,0.949676,0.873722
128000,100000,128000,0.7541,0.729712,0.668504,0.9728,0.949896,0.874023
129000,100000,129000,0.7504,0.725422,0.664609,0.9725,0.949906,0.874442
130000,100000,130000,0.7466,0.721332,0.660606,0.9726,0.950146,0.874767
131000,100000,131000,0.7415,0.716063,0.655604,0.973,0.950206,0.875046
132000,100000,132000,0.7353,0.710084,0.650063,0.9738,0.950386,0.87535
133000,100000,133000,0.7302,0.705125,0.64591,0.9738,0.950496,0.87574
134000,100000,134000,0.7268,0.700695,0.642317,0.9739,0.950776,0.876117
135000,100000,135000,0.7224,0.697025,0.639005,0.9742,0.950956,0.876518
136000,100000,136000,0.719,0.693286,0.635993,0.9743,0.951146,0.876764
137000,100000,137000,0.7154,0.689786,0.633223,0.9738,0.951356,0.877167
138000,100000,138000,0.7124,0.687076,0.630839,0.974,0.951166,0.877345
139000,100000,139000,0.7094,0.684186,0.628236,0.9738,0.951277,0.877513
140000,100000,140000,0.7051,0.680806,0.625454,0.9744,0.951546,0.877822
141000,100000,141000,0.6986,0.674757,0.620577,0.9743,0.951556,0.877948
142000,100000,142000,0.6922,0.670007,0.616195,0.9751,0.951886,0.878353
143000,100000,143000,0.6887,0.665967,0.612569,0.9749,0.952016,0.878789
144000,100000,144000,0.6851,0.662427,0.609032,0.9745,0.952246,0.879153
145000,100000,145000,0.6818,0.659317,0.606021,0.9747,0.952396,0.879481
146000,100000,146000,0.6787,0.656177,0.603248,0.9746,0.952466,0.879746
147000,100000,147000,0.6769,0.653717,0.600755,0.9752,0.952706,0.880112
148000,100000,148000,0.6751,0.651427,0.598562,0.975,0.952766,0.880394
149000,100000,149000,0.6735,0.648907,0.596534,0.975,0.952806,0.880618
150000,100000,150000,0.6714,0.646637,0.594498,0.9746,0.952896,0.880886
151000,100000,151000,0.6692,0.644257,0.59251,0.9749,0.953067,0.881129
152000,100000,152000,0.6626,0.638257,0.587103,0.9748,0.952967,0.881375
153000,100000,153000,0.6577,0.634027,0.583356,0.9748,0.953356,0.881786
154000,100000,154000,0.6542,0.630608,0.580173,0.9747,0.953317,0.882026
155000,100000,155000,0.6508,0.627388,0.57716,0.9744,0.953357,0.882266
156000,100000,156000,0.6485,0.624578,0.574419,0.9744,0.953287,0.882594
157000,100000,157000,0.6458,0.621557,0.571523,0.9743,0.953247,0.882854
158000,100000,158000,0.6429,0.618307,0.568392,0.9742,0.953127,0.883012
159000,100000,159000,0.6384,0.613898,0.564311,0.9741,0.953147,0.88338
160000,100000,160000,0.6356,0.610808,0.561415,0.9738,0.953067,0.883577
161000,100000,161000,0.6331,0.608188,0.558749,0.9738,0.953077,0.88388
162000,100000,162000,0.6311,0.605748,0.55633,0.9743,0.953177,0.884219
163000,100000,163000,0.629,0.603518,0.55402,0.9747,0.953357,0.884441
